"Country Name";"Country Code";"1960";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016"
"Equatorial Guinea";"GNQ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"56.89426";;;;;;;;;;"61.03323";;;;;;;;;;"65.1722";;"66";;;;
"Greece";"GRC";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"100";;;;;;;;;;"100";;;;;;;;;;"100";;"100";;;;
"Grenada";"GRD";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"81.13573";;;;;;;;;;"85.4112";;;;;;;;;;"87.87328";;"90.87544";;;;
"Greenland";"GRL";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"100";;;;;;;;;;"100";;;;;;;;;;"100";;"100";;;;
"Guatemala";"GTM";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"71.99245";;;;;;;;;;"78";;;;;;;;;;"78.3";;"78.5";;;;
"Guam";"GUM";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"48.85883";;;;;;;;;;"52.53027";;;;;;;;;;"55.8";;"59.32891";;;;
"Guyana";"GUY";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"72";;;;;;;;;;"74.5";;;;;;;;;;"77";;"79.46677";;;;
"High income";"HIC";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"99.2109965162876";;;;;;;;;;"99.5106587485975";;;;;;;;;;"99.6392866530407";;"99.8199746241775";;;;
"Hong Kong SAR, China";"HKG";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"100";;;;;;;;;;"100";;;;;;;;;;"100";;"100";;;;
"Honduras";"HND";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"64";;;;;;;;;;"67";;;;;;;;;;"80";;"82.2";;;;
"Heavily indebted poor countries (HIPC)";"HPC";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"16.4801533627889";;;;;;;;;;"20.1840621522605";;;;;;;;;;"26.2211167625819";;"29.153873111397";;;;
"Croatia";"HRV";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"100";;;;;;;;;;"100";;;;;;;;;;"100";;"100";;;;
"Haiti";"HTI";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"31.3";;;;;;;;;;"31.4";;;;;;;;;;"33.9";;"37.9";;;;
